"","url","catalogNumber","family","subfamily","genus","specificEpithet","scientific_name","typeStatus","stateProvince","country","dateIdentified","habitat","minimumElevationInMeters","geojson.type","decimal_latitude","decimal_longitude"
"3543","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0173946","casent0173946","formicidae","myrmicinae","Crematogaster","rochai","crematogaster rochai","","Canindey","","2006-12-31","campo cerrado edge","","point","-24.133333","-55.433334"
"3544","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0173947","casent0173947","formicidae","myrmicinae","Crematogaster","rochai","crematogaster rochai","","Central","","2006-12-31","shaded lawn","","point","-25.283333","-57.6"
"3545","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0173948","casent0173948","formicidae","myrmicinae","Crematogaster","rochai","crematogaster rochai","","Central","","2006-12-31","shaded lawn","","point","-25.283333","-57.6"
"3546","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0173949","casent0173949","formicidae","myrmicinae","Crematogaster","scelerata","crematogaster scelerata","","Cordillera","","2006-12-31","","","point","-25.366667","-57.083332"
"3547","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0173950","casent0173950","formicidae","myrmicinae","Crematogaster","sericea","crematogaster sericea","","Canindey","","2006-12-31","Bosque medio","500","point","-24","-55.316666"
"3548","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0173951","casent0173951","formicidae","myrmicinae","Crematogaster","thalia","crematogaster thalia","","Canindey","","2006-12-31","bosque alto assorted strays and foragers","","point","-24.1","-55.533333"
"3549","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0173952","casent0173952","formicidae","myrmicinae","Crematogaster","victima","crematogaster victima","","Amambay","","2006-12-31","campo cerrado edge","","point","-22.65","-56.016666"
"3550","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0173953","casent0173953","formicidae","myrmicinae","Crematogaster","victima","crematogaster victima","","Amambay","","2006-12-31","campo cerrado edge","","point","-22.65","-56.016666"
"3551","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0173954","casent0173954","formicidae","myrmicinae","Crematogaster","alw01","crematogaster alw01","","Canindey","","2006-12-31","bosque bajo inundado","","point","-24.1","-55.46667"
"3552","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0174631","casent0174631","formicidae","myrmicinae","Crematogaster","coarctata","crematogaster coarctata","","California","San Mateo","","","","point","37.6157","-122.4511"
